bulan_aktif_dari_4;frekuensi_beli_bln1;total_tabung_bln1;rasio_vs_rata_kategori_bln1;frekuensi_beli_bln2;total_tabung_bln2;rasio_vs_rata_kategori_bln2;tidak_aktif_bulan_ini_bln2;frekuensi_beli_bln3;total_tabung_bln3;rasio_vs_rata_kategori_bln3;tidak_aktif_bulan_ini_bln3;frekuensi_beli_bln4;total_tabung_bln4;rasio_vs_rata_kategori_bln4;tidak_aktif_bulan_ini_bln4;tren_rasio;std_rasio;max_rasio;tren_frekuensi;total_tabung_4bln;n_bulan_maks;n_bulan_tidak_aktif;label
2;1;1;0.39;1;1;0.38;0.0;0;0;0.0;1.0;0;0;0.0;1.0;-0.39;0.19253246479490152;0.39;-1;2;2;2.0;0
2;2;2;0.79;2;2;0.77;0.0;0;0;0.0;1.0;0;0;0.0;1.0;-0.79;0.3900640972968417;0.79;-2;4;2;2.0;0
4;3;3;1.18;3;3;1.15;0.0;3;3;0.97;0.0;3;3;0.85;0.0;-0.32999999999999996;0.13479150566708567;1.18;0;12;4;0.0;0
4;4;8;1.18;4;8;1.15;0.0;4;8;1.09;0.0;4;8;1.05;0.0;-0.1299999999999999;0.05068283733178317;1.18;0;32;4;0.0;0
4;4;4;1.58;4;4;1.54;0.0;4;4;1.29;0.0;4;4;1.13;0.0;-0.4500000000000002;0.18445866745696723;1.58;0;16;4;0.0;1
4;4;4;1.58;4;4;1.54;0.0;4;4;1.29;0.0;4;4;1.13;0.0;-0.4500000000000002;0.18445866745696723;1.58;0;16;4;0.0;1
4;3;3;1.18;3;3;1.15;0.0;3;3;0.97;0.0;3;3;0.85;0.0;-0.32999999999999996;0.13479150566708567;1.18;0;12;4;0.0;0
2;1;1;0.39;1;1;0.38;0.0;0;0;0.0;1.0;0;0;0.0;1.0;-0.39;0.19253246479490152;0.39;-1;2;2;2.0;0
3;2;2;0.79;2;2;0.77;0.0;2;2;0.64;0.0;0;0;0.0;1.0;-0.79;0.3227227912620985;0.79;-2;6;3;1.0;0
4;4;8;1.18;4;8;1.15;0.0;4;8;1.09;0.0;4;8;1.05;0.0;-0.1299999999999999;0.05068283733178317;1.18;0;32;4;0.0;0
2;1;1;0.39;1;1;0.38;0.0;0;0;0.0;1.0;0;0;0.0;1.0;-0.39;0.19253246479490152;0.39;-1;2;2;2.0;0
