kategori_enc;frekuensi_beli;total_tabung;selalu_beli_maksimum;beli_awal_bulan;beli_tengah_bulan;beli_akhir_bulan;rasio_vs_rata_kategori;bulan_aktif_dari_4;tidak_aktif_bulan_ini;label
1;4;8;1;1;1;1;1.18;4;0.0;0
1;3;4;1;1;1;1;0.58;4;0.0;0
1;4;6;1;1;1;1;0.82;4;0.0;0
1;4;8;1;1;1;1;1.05;4;0.0;0
1;4;8;1;1;0;1;1.18;4;0.0;0
1;3;4;0;1;1;1;0.58;4;0.0;0
1;4;6;1;1;1;1;0.82;4;0.0;0
1;4;8;1;1;1;1;1.05;4;0.0;0
0;2;2;1;1;0;1;0.79;4;0.0;0
0;1;1;0;0;0;1;0.38;4;0.0;0
0;2;2;1;1;1;0;0.64;4;0.0;0
0;2;2;1;0;1;1;0.57;4;0.0;0
0;2;2;1;1;1;0;0.79;3;0.0;0
0;1;1;1;0;1;0;0.38;3;0.0;0
0;1;1;1;0;1;0;0.32;3;0.0;0
0;0;0;0;0;0;0;0.0;3;1.0;0
0;3;3;1;1;1;1;1.18;4;0.0;0
0;3;3;1;1;1;1;1.15;4;0.0;0
0;2;2;1;0;1;1;0.64;4;0.0;0
0;4;4;1;1;1;1;1.13;4;0.0;1
0;4;4;1;1;1;1;1.58;4;0.0;1
0;3;3;1;1;1;0;1.15;4;0.0;0
0;1;1;1;0;1;0;0.32;4;0.0;0
0;3;3;1;1;1;1;0.85;4;0.0;0
1;4;8;1;1;1;1;1.18;4;0.0;0
1;3;3;1;1;1;1;0.43;4;0.0;0
1;4;4;1;1;1;1;0.55;4;0.0;0
1;4;8;1;1;1;1;1.05;4;0.0;0
0;1;1;1;1;0;0;0.39;4;0.0;0
0;2;2;1;1;1;0;0.77;4;0.0;0
0;2;2;1;1;0;1;0.64;4;0.0;0
0;3;3;1;1;1;1;0.85;4;0.0;0
0;1;1;1;1;0;0;0.39;2;0.0;0
0;2;2;1;1;0;1;0.77;2;0.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;1;1;1;1;0;0;0.39;2;0.0;0
0;1;1;1;0;1;0;0.38;2;0.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
1;2;2;0;0;1;1;0.3;3;0.0;0
1;2;4;1;1;0;1;0.58;3;0.0;0
1;2;4;1;1;0;1;0.55;3;0.0;0
1;0;0;0;0;0;0;0.0;3;1.0;0
0;1;1;1;0;0;1;0.39;2;0.0;0
0;1;1;1;0;1;0;0.38;2;0.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;1;1;1;0;0;1;0.39;1;0.0;0
0;0;0;0;0;0;0;0.0;1;1.0;0
0;0;0;0;0;0;0;0.0;1;1.0;0
0;0;0;0;0;0;0;0.0;1;1.0;0
0;2;2;1;1;0;1;0.79;3;0.0;0
0;2;2;1;1;0;1;0.77;3;0.0;0
0;2;2;1;1;0;1;0.64;3;0.0;0
0;0;0;0;0;0;0;0.0;3;1.0;0
0;3;3;1;1;0;1;1.18;4;0.0;0
0;3;3;1;1;1;1;1.15;4;0.0;0
0;3;3;1;1;1;1;0.97;4;0.0;0
0;3;3;1;1;1;1;0.85;4;0.0;0
0;2;2;1;1;0;0;0.79;2;0.0;0
0;2;2;1;1;0;1;0.77;2;0.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;3;3;1;1;1;0;1.18;4;0.0;0
0;3;3;1;1;1;1;1.15;4;0.0;0
0;3;3;1;1;1;1;0.97;4;0.0;0
0;3;3;1;1;1;1;0.85;4;0.0;0
0;1;1;1;1;0;0;0.39;2;0.0;0
0;1;1;1;0;1;0;0.38;2;0.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;4;4;1;1;1;1;1.58;4;0.0;1
0;4;4;1;1;1;1;1.54;4;0.0;1
0;4;4;1;1;1;1;1.29;4;0.0;1
0;4;4;1;1;1;1;1.13;4;0.0;1
1;4;8;1;1;1;1;1.18;4;0.0;0
1;4;8;1;1;1;1;1.15;4;0.0;0
1;4;8;1;1;1;1;1.09;4;0.0;0
1;4;8;1;1;1;1;1.05;4;0.0;0
1;4;8;1;1;1;1;1.18;4;0.0;0
1;4;8;1;1;1;1;1.15;4;0.0;0
1;4;8;1;1;1;1;1.09;4;0.0;0
1;4;8;1;1;1;1;1.05;4;0.0;0
0;2;2;1;1;1;0;0.79;2;0.0;0
0;2;2;1;1;0;1;0.77;2;0.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;3;3;1;1;0;1;1.18;4;0.0;0
0;3;3;1;1;1;1;1.15;4;0.0;0
0;3;3;1;1;1;1;0.97;4;0.0;0
0;3;3;1;1;1;1;0.85;4;0.0;0
1;4;4;0;1;1;1;0.59;4;0.0;0
1;4;8;1;1;1;1;1.15;4;0.0;0
1;4;8;1;1;1;1;1.09;4;0.0;0
1;4;8;1;1;1;1;1.05;4;0.0;0
0;4;4;1;1;1;1;1.58;4;0.0;1
0;4;4;1;1;1;1;1.54;4;0.0;1
0;4;4;1;1;1;1;1.29;4;0.0;1
0;4;4;1;1;1;1;1.13;4;0.0;1
0;3;3;1;1;0;1;1.18;3;0.0;0
0;3;3;1;1;1;1;1.15;3;0.0;0
0;3;3;1;1;1;1;0.97;3;0.0;0
0;0;0;0;0;0;0;0.0;3;1.0;0
0;4;4;1;1;1;0;1.58;4;0.0;1
0;4;4;1;1;1;1;1.54;4;0.0;1
0;4;4;1;1;1;1;1.29;4;0.0;1
0;4;4;1;1;1;1;1.13;4;0.0;1
0;3;3;1;1;1;1;1.18;4;0.0;0
0;3;3;1;1;1;1;1.15;4;0.0;0
0;3;3;1;1;1;1;0.97;4;0.0;0
0;3;3;1;1;1;1;0.85;4;0.0;0
0;1;1;1;0;0;1;0.39;1;0.0;0
0;0;0;0;0;0;0;0.0;1;1.0;0
0;0;0;0;0;0;0;0.0;1;1.0;0
0;0;0;0;0;0;0;0.0;1;1.0;0
1;3;3;0;1;0;1;0.44;4;0.0;0
1;3;6;1;1;1;1;0.86;4;0.0;0
1;3;6;1;1;1;1;0.82;4;0.0;0
1;3;6;1;1;1;1;0.78;4;0.0;0
0;3;3;1;1;0;1;1.18;3;0.0;0
0;3;3;1;1;1;1;1.15;3;0.0;0
0;3;3;1;1;1;1;0.97;3;0.0;0
0;0;0;0;0;0;0;0.0;3;1.0;0
0;3;3;1;1;0;1;1.18;4;0.0;0
0;3;3;1;1;1;1;1.15;4;0.0;0
0;3;3;1;1;1;1;0.97;4;0.0;0
0;3;3;1;1;1;1;0.85;4;0.0;0
1;4;8;1;1;1;1;1.18;4;0.0;0
1;4;8;1;1;1;1;1.15;4;0.0;0
1;4;8;1;1;1;1;1.09;4;0.0;0
1;4;8;1;1;1;1;1.05;4;0.0;0
0;4;4;1;1;1;1;1.58;4;0.0;1
0;4;4;1;1;1;1;1.54;4;0.0;1
0;4;4;1;1;1;1;1.29;4;0.0;1
0;4;4;1;1;1;1;1.13;4;0.0;1
0;4;4;1;1;1;1;1.58;4;0.0;1
0;4;4;1;1;1;1;1.54;4;0.0;1
0;4;4;1;1;1;1;1.29;4;0.0;1
0;4;4;1;1;1;1;1.13;4;0.0;1
0;1;1;1;1;0;0;0.39;2;0.0;0
0;1;1;1;0;1;0;0.38;2;0.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;0;0;0;0;0;0;0.0;2;1.0;0
0;3;3;1;1;1;1;1.18;4;0.0;0
0;3;3;1;1;1;1;1.15;4;0.0;0
0;3;3;1;1;1;1;0.97;4;0.0;0
0;3;3;1;1;1;1;0.85;4;0.0;0
0;2;2;1;1;0;1;0.79;3;0.0;0
0;2;2;1;1;0;1;0.77;3;0.0;0
0;2;2;1;1;0;1;0.64;3;0.0;0
0;0;0;0;0;0;0;0.0;3;1.0;0
0;3;3;1;1;1;1;1.18;4;0.0;0
0;3;3;1;1;1;1;1.15;4;0.0;0
0;3;3;1;1;1;1;0.97;4;0.0;0
0;3;3;1;1;1;1;0.85;4;0.0;0
1;4;4;0;1;1;1;0.59;4;0.0;0
1;4;8;1;1;1;1;1.15;4;0.0;0
1;4;8;1;1;1;1;1.09;4;0.0;0
1;4;8;1;1;1;1;1.05;4;0.0;0
1;4;4;0;1;1;1;0.59;4;0.0;0
1;4;8;1;1;1;1;1.15;4;0.0;0
1;4;8;1;1;1;1;1.09;4;0.0;0
1;4;8;1;1;1;1;1.05;4;0.0;0
0;3;3;1;1;1;0;1.18;4;0.0;0
0;3;3;1;1;1;1;1.15;4;0.0;0
